iso3	country	measure	source	unit	year	year_date	obs_value
FIN	Finland	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2018	2018-01-01	536.689318
FIN	Finland	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2019	2019-01-01	536.616796
FIN	Finland	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2020	2020-01-01	1167.514601
FIN	Finland	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2021	2021-01-01	1805.871278
FIN	Finland	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2022	2022-01-01	1152.50639
FIN	Finland	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2023	2023-01-01	484.270886
FRA	France	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2016	2016-01-01	2057.904085
FRA	France	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2017	2017-01-01	2588.967062
FRA	France	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2018	2018-01-01	4093.693463
FRA	France	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2019	2019-01-01	4962.448397
FRA	France	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2020	2020-01-01	5547.536987
FRA	France	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2021	2021-01-01	12341.90255
FRA	France	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2022	2022-01-01	13059.64093
FRA	France	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2023	2023-01-01	8168.634246
DEU	Germany	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2016	2016-01-01	2236.407989
DEU	Germany	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2017	2017-01-01	2682.912693
DEU	Germany	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2018	2018-01-01	5541.059986
DEU	Germany	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2019	2019-01-01	6834.35171
DEU	Germany	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2020	2020-01-01	4932.543199
DEU	Germany	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2021	2021-01-01	19719.11733
DEU	Germany	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2022	2022-01-01	10319.56191
DEU	Germany	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2023	2023-01-01	7482.905461
ISR	Israel	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2016	2016-01-01	1537.451981
ISR	Israel	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2017	2017-01-01	2074.223137
ISR	Israel	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2018	2018-01-01	3249.429221
ISR	Israel	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2019	2019-01-01	3638.194534
ISR	Israel	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2020	2020-01-01	4045.000777
ISR	Israel	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2021	2021-01-01	9282.144015
ISR	Israel	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2022	2022-01-01	8285.707647
ISR	Israel	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2023	2023-01-01	4145.581937
ITA	Italy	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2016	2016-01-01	161.452691
